	Autore	Titolo	Genere	Numero di prestiti	Data prestito
2005	Freud Sigmund	Introduzione allo studio della psicoanalisi			01/03/2005
2005	Miller Alice	Il bambino inascoltato			01/03/2005
2005	Ciliberto Michele	Introduzione a Bruno			01/03/2005
2005	Piciocchi Michele	Quattro conversazioni su Giordano Bruno			01/03/2005
2005	Mercandino Cesare e Augusto	Storia del territorio e delle città d'Italia			01/03/2005
2005	Montale Eugenio	Ossi di seppia			01/03/2005
2005	Shakespeare William	Romeo and Juliet			12/04/2005
2005	De Luna, Giovanni	Donne in oggetto: l'antifascismo nella società italiana 1922-1939			05/05/2005
2005	Greene Graham 	Il nostro agente all'Avana			23/05/2005
2005	Beer Sergio	Radioecologia			26/05/2005
2005	Leet L. Don	Le grandi catastrofi naturali			26/05/2005
2005	Boschi Enzo, Bordieri Franco	Terremoti d'Italia			26/05/2005
2005	AA.VV.	La scienza e i terremoti			26/05/2005
2005	De Robertis Eduardo D.P.	Biologia della cellula			08/09/2005
2005	Coleman James A.	La relatività è facile			12/09/2005
2005	Böll Heinrich	Opinioni di un clown			16/09/2005
2005	Dürrenmatt Friedrich 	Il sospetto			16/09/2005
2005	Lewis Roy 	Il più grande uomo scimmia del Pleistocene			16/09/2005
2005	Calvino Italo	La giornata di uno scrutatore			16/09/2005
2005	AA.VV.	Elettricità e magnetismo parte 1			21/09/2005
2005	AA.VV.	Elettricità e magnetismo parte 2			21/09/2005
2005	Halliday David, Resnick Robert 	Fisica vol. 1			07/10/2005
2005	Halliday David, Resnick Robert 	Fisica vol. 2			07/10/2005
2005	Edminister Joseph A.	Circuiti elettrici			16/11/2005
2005	Uhlman Fred	L'amico ritrovato			19/11/2005
2005	Dall'Aglio Giorgio	Calcolo delle probabilità			07/12/2005
2005	Sercambi Giovanni	Novelle vol. 1			07/12/2005
2005	Sercambi Giovanni	Novelle vol. 2			07/12/2005
2005	Celati Gianni	Quattro novelle sulle apparenze			16/12/2005
2005	Buzzati Dino	Bàrnabo delle montagne			16/12/2005
2005	Allende Isabel	La casa degli spiriti			16/12/2005
2005	Chandler Raymond	Il grande sonno			16/12/2005
2005	Greene Graham 	Il nostro agente all'Avana			16/12/2005
2005	Aleramo Sibilla	Una donna			16/12/2005
2005	Bufalino Gesualdo	Argo il cieco			16/12/2005
2005	Aleramo Sibilla	Amo dunque sono			16/12/2005
2005	De Carlo Andrea	Uccelli da gabbia e da voliera			16/12/2005
2005	Schnitzler Arthur 	La signorina Else			16/12/2005
2005	Cassola Carlo	La ragazza di Bube			16/12/2005
2005	Metter Izrail 	Il quinto angolo			16/12/2005
2005	Bianchi Piero Maria	Piante medicinali			17/12/2005
2005	Friuli-Venezia Giulia : Direzione regionale delle foreste e dei parchi	Flora alpina nel Friuli-Venezia Giulia			17/12/2005
2005	Buzzati Dino	Il deserto dei tartari			20/12/2005
2005	Buzzati Dino	Un amore			20/12/2005
2005	Buzzati Dino	Il deserto dei tartari			20/12/2005
2005	Tobino Mario	Il figlio del farmacista			20/12/2005
2005	Alvaro Corrado	L'uomo del labirinto			20/12/2005
2005	Agnelli Susanna	Vestivamo alla marinara			20/12/2005
2005	Tabucchi Antonio	Piccoli equivoci senza importanza			20/12/2005
2005	Pratolini Vasco	Cronache di poveri amanti			20/12/2005
2005	Sciascia Leonardo	Il giorno della civetta			20/12/2005
2005	Sciascia Leonardo	Il giorno della civetta			20/12/2005
2005	Tondelli Pier Vittorio	Pao pao			20/12/2005
2005	Tabucchi Antonio	Il figlio dell'orizzonte			20/12/2005
2005	Sciascia Leonardo	I pugnalatori			20/12/2005
2005	Chiara Piero	I giovedì della signora Giulia			20/12/2005
2005	De Carlo Andrea	Macno			20/12/2005
2005	Bassani Giorgio	L'airone			20/12/2005
2005		Il novellino			20/12/2005
2005	Tomizza Fulvio	L'amicizia			20/12/2005
2005	Sciascia Leonardo	Il mare colore del vino			20/12/2005
2005	Bassani Giorgio	Il giardino dei Finzi Contini			20/12/2005
2005	Pratolini Vasco	Le ragazze di San Frediano			20/12/2005
2006	Piccioni Leone	Ungaretti - Tutte le poesie			01/02/2006
2006	Zagarrio Vito	Francis Ford Coppola			14/02/2006
2006	Polya George	Metodi matematici per l'insegnamento delle scienze fisiche			15/02/2006
2006	London Keith	Introduzione agli elaboratori elettronici			03/03/2006
2006	Apuleio	L'asino d'oro I-XI			03/03/2006
2006	Catullo	Poesie			03/03/2006
2006	Fedro	Favole 			03/03/2006
2006	Carbonetto Arturo	La poesia latina: storia e antologia			03/03/2006
2006	Yester Michael	Turbo Pascal			10/03/2006
2006	Jorno Armando	Turbo Pascal			10/03/2006
2006	Spiegelman Art	Maus			10/03/2006
2006	AA. VV.	ICMESA			16/03/2006
2006	Whitten D.G.A., Brooks J.R.V.	Dizionario di geolgia			16/03/2006
2006	AA. VV.	Storia ecosfera			24/03/2006
2006	Platone	Opere vol. 2			28/04/2006
2006	Forti Marco	Montale			28/04/2006
2006	Kafka Franz	Racconti			28/04/2006
2006	Lussu Emilio	Un anno sull'altopiano			non segnata
2006	Calvino Italo	Il cavaliere inesistente			15/09/2006
2006	Lewis Roy	Il più grande uomo scimmia del Pleistocene			15/09/2006
2006	Dürrenmatt Friedrich 	Il sospetto			15/09/2006
2006	Platone				15/09/2006
2006	Sciascia Leonardo	Il giorno della civetta			15/09/2006
